CH	Y	X	relative	coeff	instrument
1	978	235.245	3.37E+06	2.94659	4.95267
2	963	235.004	4.47E+06	2.22148	4.92635
3	949	234.773	3.89E+06	2.5527	5.27961
4	933	234.464	4.29E+06	2.31469	4.74817
6	903	232.925	4.62E+06	2.14935	4.69283
7	887	232.759	5.53E+06	1.79566	4.64892
8	872	232.246	5.13E+06	1.93567	4.80858
9	858	231.955	5.56E+06	1.78597	4.70683
10	842	231.498	5.69E+06	1.74517	4.64438
11	827	231.371	5.03E+06	1.97416	4.50444
12	812	230.712	4.68E+06	2.12179	4.71655
13	796	230.064	4.47E+06	2.22148	4.58816
14	782	229.665	5.31E+06	1.87006	4.35605
15	767	229.696	5.30E+06	1.87358	4.26544
16	752	229.374	4.66E+06	2.1309	4.35566
17	737	228.7	6.23E+06	1.5939	4.27095
18	721	228.825	7.80E+06	1.27308	4.13601
19	707	228.664	6.69E+06	1.4843	4.15873
20	691	228.126	5.08E+06	1.95472	4.40279
21	676	227.775	6.89E+06	1.44122	3.97987
22	660	227.282	8.47E+06	1.17237	4.00449
23	646	227.374	8.36E+06	1.1878	3.87819
24	631	227.25	9.09E+06	1.09241	3.81133
25	615	227.172	8.97E+06	1.10702	3.76363
26	600	226.517	7.42E+06	1.33827	3.82012
27	585	226.501	8.70E+06	1.14138	3.80556
28	570	226.502	8.46E+06	1.17376	3.67659
29	558	226.223	5.82E+06	1.70619	3.77421
30	540	225.862	6.24E+06	1.59135	3.57822
31	525	226.095	6.18E+06	1.6068	3.58573
32	510	225.589	5.43E+06	1.82873	3.52366
33	494	225.462	5.34E+06	1.85955	3.38579
34	479	225.132	6.56E+06	1.51372	3.47851
35	464	224.953	6.78E+06	1.4646	3.40654
36	449	224.919	6.11E+06	1.6252	3.43295
37	433	224.602	6.76E+06	1.46893	3.40323
38	419	224.661	6.39E+06	1.55399	3.32516
39	404	224.426	7.00E+06	1.41857	3.53458
40	388	224.33	7.00E+06	1.41857	3.51015
41	374	224.253	7.44E+06	1.33468	3.31552
42	358	224.082	6.74E+06	1.47329	3.48855
43	343	224.072	6.61E+06	1.50227	3.37753
45	312	224.108	5.27E+06	1.88425	3.33537
46	297	223.637	5.40E+06	1.83889	3.45165
47	282	224.022	4.76E+06	2.08613	3.39081
48	267	223.646	4.62E+06	2.14935	3.37252
50	236	224.495	2.62E+06	3.79008	3.37778
51	220	224.387	5.02E+06	1.97809	3.43903
52	206	223.859	5.01E+06	1.98204	3.55372
53	190	224.263	3.85E+06	2.57922	3.48647
54	175	224.071	5.62E+06	1.7669	3.49497
55	160	224.179	6.47E+06	1.53478	3.46158
56	129	224.64	5.69E+06	1.74517	3.27477
58	98	225.383	3.17E+06	3.13249	3.31156
60	84	225.679	2.47E+06	4.02024	3.10752
61	68	225.575	3.40E+06	2.92059	3.36541
62	53	225.061	2.00E+06	4.965	3.40612
64	994	373.543	2.28E+06	4.35526	4.53542
65	979	373.599	2.67E+06	3.7191	4.62608
66	964	373.04	3.58E+06	2.77374	4.75382
67	949	372.614	4.13E+06	2.40436	4.70186
68	934	372.275	3.45E+06	2.87826	4.4618
69	903	371.156	4.31E+06	2.30394	4.40804
70	888	370.815	4.11E+06	2.41606	4.55574
71	873	370.048	5.19E+06	1.91329	4.26974
72	858	369.609	3.76E+06	2.64096	4.55432
73	843	369.568	4.64E+06	2.14009	4.28876
74	828	369.031	4.46E+06	2.22646	4.33795
75	812	368.814	3.97E+06	2.50126	4.27863
76	797	368.232	3.95E+06	2.51392	4.34183
77	782	368.415	3.73E+06	2.6622	4.04237
78	769	367.854	2.44E+06	4.06967	4.17287
79	752	366.116	1.68E+06	5.91071	3.81025
80	737	366.577	2.23E+06	4.45291	4.02803
81	722	366.282	4.34E+06	2.28802	4.14818
82	707	366.297	4.39E+06	2.26196	3.89208
83	692	365.55	3.16E+06	3.14241	4.13576
84	676	365.793	4.83E+06	2.0559	3.77743
85	661	365.33	5.72E+06	1.73601	3.88867
86	646	364.985	5.73E+06	1.73298	3.95197
87	631	364.503	6.15E+06	1.61463	3.77547
88	617	364.001	4.49E+06	2.21158	3.87947
89	601	364.069	5.49E+06	1.80874	3.6198
90	586	364.38	4.58E+06	2.16812	3.66474
91	570	363.881	3.71E+06	2.67655	3.88451
92	556	363.833	5.81E+06	1.70912	3.57152
93	540	363.751	4.91E+06	2.0224	3.68683
94	526	363.067	4.22E+06	2.35308	3.74502
95	510	362.986	2.80E+06	3.54643	4.04614
96	495	363.65	3.65E+06	2.72055	3.29091
97	479	363.425	3.36E+06	2.95536	3.43585
98	464	363.398	3.46E+06	2.86994	3.48619
99	449	363.072	3.68E+06	2.69837	3.49446
100	434	362.727	3.83E+06	2.59269	3.59086
101	419	362.707	3.64E+06	2.72802	3.49887
102	403	362.9	3.21E+06	3.09346	3.44957
103	373	362.971	2.91E+06	3.41237	3.47095
104	358	362.759	3.46E+06	2.86994	3.3365
105	343	362.354	3.69E+06	2.69106	3.34017
106	328	362.287	3.60E+06	2.75833	3.57684
107	313	362.434	4.27E+06	2.32553	3.57189
108	298	362.313	2.76E+06	3.59783	3.39457
109	282	361.975	3.75E+06	2.648	3.45683
110	267	362.671	2.74E+06	3.62409	3.5185
111	252	362.287	2.39E+06	4.15481	3.52009
112	237	362.963	2.02E+06	4.91584	3.23827
113	222	363.034	1.48E+06	6.70946	3.40202
114	191	362.757	1.96E+06	5.06633	3.45487
115	176	362.668	2.12E+06	4.68396	3.46693
116	160	363.211	1.49E+06	6.66443	3.14691
117	144	363.171	1.63E+06	6.09202	3.59375
118	129	362.363	2.17E+06	4.57604	3.40234
120	99	363.798	1.40E+06	7.09286	2.96691
121	84	364.383	1.31E+06	7.58015	3.24745
122	69	364.353	1.65E+06	6.01818	3.20255
123	54	364.793	1.36E+06	7.30147	2.94975
124	38	364.145	1.08E+06	9.19444	2.89098
125	979	511.98	3.24E+06	3.06481	4.27838
126	964	511.54	3.99E+06	2.48872	4.33281
127	949	511.163	4.16E+06	2.38702	4.31335
128	934	510.765	3.61E+06	2.75069	4.30553
129	918	510.62	2.92E+06	3.40068	4.28135
130	903	509.861	2.79E+06	3.55914	4.2461
131	889	509.112	2.24E+06	4.43304	4.42646
132	873	508.362	3.58E+06	2.77374	4.2776
133	858	508.058	3.13E+06	3.17252	4.3262
134	844	507.574	3.16E+06	3.14241	4.39512
135	827	507.116	2.92E+06	3.40068	4.38953
136	813	506.636	3.40E+06	2.92059	4.361
137	797	506.26	4.07E+06	2.4398	4.05398
138	782	505.885	3.25E+06	3.05538	4.40522
139	767	505.31	3.93E+06	2.52672	4.14889
140	752	505.599	4.10E+06	2.42195	4.15274
141	738	505.374	3.52E+06	2.82102	4.32836
142	722	504.687	3.42E+06	2.90351	4.05619
143	707	504.021	3.10E+06	3.20323	4.04502
144	691	504.542	3.13E+06	3.17252	4.11099
145	677	503.905	3.67E+06	2.70572	4.20898
146	661	503.36	4.06E+06	2.44581	4.18276
147	646	503.071	4.21E+06	2.35867	4.07311
148	632	503.092	4.12E+06	2.41019	3.86041
149	601	502.487	3.52E+06	2.82102	3.95243
150	586	502.425	3.72E+06	2.66935	4.14002
151	570	502.084	5.20E+06	1.90962	3.90746
152	556	502.037	4.85E+06	2.04742	3.94537
153	540	502.107	3.94E+06	2.5203	3.88896
154	525	501.79	3.53E+06	2.81303	3.89783
155	510	501.544	3.54E+06	2.80508	3.92511
156	494	501.636	3.23E+06	3.0743	3.82702
157	480	501.877	3.06E+06	3.2451	3.85139
158	464	501.764	2.80E+06	3.54643	3.82215
159	449	501.798	2.57E+06	3.86381	3.74313
160	435	501.45	3.30E+06	3.00909	3.59852
161	419	501.182	3.01E+06	3.299	3.78224
162	404	501.149	3.29E+06	3.01824	3.69784
163	389	501.05	2.77E+06	3.58484	3.66676
164	357	501.098	2.62E+06	3.79008	3.75843
165	343	501.132	5.18E+06	1.91699	3.72808
166	328	500.893	4.61E+06	2.15401	3.70112
167	313	501.413	3.76E+06	2.64096	3.72119
168	298	500.996	5.25E+06	1.89143	3.6851
169	282	500.933	4.52E+06	2.1969	3.77665
171	267	501.454	2.63E+06	3.77567	3.64394
172	252	501.621	2.40E+06	4.1375	3.40037
174	206	500.905	2.61E+06	3.8046	3.37552
176	175	502.22	1.80E+06	5.51667	3.2651
177	145	501.728	1.92E+06	5.17188	3.50648
178	129	501.956	2.67E+06	3.7191	3.53739
179	114	502.046	1.77E+06	5.61017	3.37718
180	99	503.05	1.63E+06	6.09202	3.18632
181	83	503.021	1.71E+06	5.80702	3.69209
182	68	503.261	2.48E+06	4.00403	3.27707
183	53	503.568	2.13E+06	4.66197	3.43428
184	38	504.246	2.12E+06	4.68396	3.4703
185	994	651.431	5.08E+06	1.95472	4.33374
186	980	651.288	4.94E+06	2.01012	4.19425
187	949	649.768	6.49E+06	1.53005	4.15688
188	934	649.657	4.68E+06	2.12179	4.63899
189	918	648.863	6.57E+06	1.51142	4.2586
190	903	648.707	5.86E+06	1.69454	4.17956
191	889	648.028	6.30E+06	1.57619	4.13198
192	874	647.693	5.30E+06	1.87358	4.11713
193	858	646.935	5.69E+06	1.74517	4.17386
194	842	645.83	6.79E+06	1.46244	4.31172
195	828	645.938	7.05E+06	1.40851	4.15022
196	813	645.642	6.18E+06	1.6068	4.2774
197	798	645.428	5.85E+06	1.69744	4.23223
198	782	645.067	6.52E+06	1.52301	4.26495
199	767	644.602	7.25E+06	1.36966	4.19437
200	753	644.445	7.07E+06	1.40453	4.18905
201	738	644.63	6.64E+06	1.49548	4.13268
202	707	643.764	6.19E+06	1.6042	4.09978
203	692	643.208	5.51E+06	1.80218	4.23464
