CH	Y	X	relative	coeff	instrument
1	977	260.363	1.60E+08	1.60625	4.95267
2	963	259.921	1.95E+08	1.31795	4.92635
3	948	259.328	1.59E+08	1.61635	5.27961
4	933	259.265	1.89E+08	1.35979	4.74817
6	902	257.758	1.89E+08	1.35979	4.69283
7	887	257.676	2.14E+08	1.20093	4.64892
8	872	257.476	1.92E+08	1.33854	4.80858
9	857	257.106	2.15E+08	1.19535	4.70683
10	841	256.903	2.08E+08	1.23558	4.64438
11	827	256.616	1.75E+08	1.46857	4.50444
12	811	256.455	1.60E+08	1.60625	4.71655
13	796	255.726	1.47E+08	1.7483	4.58816
14	782	255.155	1.73E+08	1.48555	4.35605
15	766	254.806	1.52E+08	1.69079	4.26544
16	751	254.483	1.27E+08	2.02362	4.35566
17	736	253.923	1.04E+08	2.47115	4.27095
18	720	253.668	1.48E+08	1.73649	4.13601
19	706	254.064	1.31E+08	1.96183	4.15873
20	689	253.313	1.03E+08	2.49515	4.40279
21	675	252.78	1.72E+08	1.49419	3.97987
22	659	252.542	1.85E+08	1.38919	4.00449
23	645	252.206	2.18E+08	1.1789	3.87819
24	630	252.063	2.44E+08	1.05328	3.81133
25	615	252.031	2.29E+08	1.12227	3.76363
26	599	251.321	2.11E+08	1.21801	3.82012
27	584	251.376	2.54E+08	1.01181	3.80556
28	569	251.223	2.42E+08	1.06198	3.67659
29	557	250.959	1.59E+08	1.61635	3.77421
30	539	250.974	1.72E+08	1.49419	3.57822
31	524	251.15	1.65E+08	1.55758	3.58573
32	509	250.921	1.44E+08	1.78472	3.52366
33	493	250.813	1.81E+08	1.41989	3.38579
34	479	250.726	2.17E+08	1.18433	3.47851
35	463	250.34	2.37E+08	1.08439	3.40654
36	448	250.162	1.97E+08	1.30457	3.43295
37	433	249.862	2.16E+08	1.18981	3.40323
38	418	249.564	1.96E+08	1.31122	3.32516
39	403	249.313	2.12E+08	1.21226	3.53458
40	387	249.174	1.89E+08	1.35979	3.51015
41	373	249.147	2.07E+08	1.24155	3.31552
42	357	249.219	1.89E+08	1.35979	3.48855
43	342	249.21	1.84E+08	1.39674	3.37753
45	311	249.044	1.35E+08	1.9037	3.33537
46	296	248.908	1.43E+08	1.7972	3.45165
47	281	249.031	1.09E+08	2.3578	3.39081
48	266	248.71	9.02E+07	2.84922	3.37252
50	234	249.302	4.76E+07	5.39916	3.37778
51	219	249.111	1.07E+08	2.40187	3.43903
52	205	248.945	1.17E+08	2.19658	3.55372
53	189	249.404	7.86E+07	3.26972	3.48647
54	174	249.047	1.40E+08	1.83571	3.49497
55	159	249.28	1.68E+08	1.52976	3.46158
56	128	249.471	1.55E+08	1.65806	3.27477
58	97	250.566	6.98E+07	3.68195	3.31156
60	83	251.051	5.76E+07	4.46181	3.10752
61	68	250.99	9.48E+07	2.71097	3.36541
62	53	250.844	5.18E+07	4.96139	3.40612
64	993	399.598	8.15E+07	3.15337	4.53542
65	979	398.826	1.20E+08	2.14167	4.62608
66	963	398.332	1.41E+08	1.8227	4.75382
67	948	397.704	1.60E+08	1.60625	4.70186
68	934	397.75	1.39E+08	1.84892	4.4618
69	903	396.469	1.80E+08	1.42778	4.40804
70	888	395.623	1.60E+08	1.60625	4.55574
71	873	395.114	2.03E+08	1.26601	4.26974
72	858	394.702	1.38E+08	1.86232	4.55432
73	842	394.34	1.79E+08	1.43575	4.28876
74	827	393.93	1.67E+08	1.53892	4.33795
75	812	393.482	1.63E+08	1.57669	4.27863
76	797	392.932	1.54E+08	1.66883	4.34183
77	782	392.953	1.37E+08	1.87591	4.04237
78	769	392.673	7.44E+07	3.4543	4.17287
79	753	391.286	5.19E+07	4.95183	3.81025
80	736	391.388	7.13E+07	3.60449	4.02803
81	721	391.296	9.51E+07	2.70242	4.14818
82	706	391.186	1.09E+08	2.3578	3.89208
83	691	390.542	7.73E+07	3.32471	4.13576
