A	‚™	‚˜	relative	coeff	instrument
1	975	255.235	1.60E+08	1.60625	6.20748
2	960	255.244	1.95E+08	1.31795	6.04028
3	946	253.258	1.59E+08	1.61635	6.14879
4	931	253.961	1.89E+08	1.35979	5.85632
6	900	252.926	1.89E+08	1.35979	5.94692
7	884	252.505	2.14E+08	1.20093	5.93132
8	870	250.153	1.92E+08	1.33854	5.91596
9	855	250.467	2.15E+08	1.19535	5.88023
10	839	250.219	2.08E+08	1.23558	5.80617
11	824	250.403	1.75E+08	1.46857	5.73583
12	810	249.26	1.60E+08	1.60625	5.75158
13	793	247.848	1.47E+08	1.7483	5.65107
14	779	246.402	1.73E+08	1.48555	5.63846
15	764	248.011	1.52E+08	1.69079	5.5824
16	749	246.713	1.27E+08	2.02362	5.64839
17	735	246.947	1.04E+08	2.47115	5.53439
18	719	244.867	1.48E+08	1.73649	5.54438
19	704	246.313	1.31E+08	1.96183	5.30959
20	688	247.867	1.03E+08	2.49515	5.63679
21	673	246.387	1.72E+08	1.49419	5.30922
22	657	245.321	1.85E+08	1.38919	5.37509
23	643	245.97	2.18E+08	1.1789	5.22115
24	628	245.97	2.44E+08	1.05328	5.19126
25	612	246.122	2.29E+08	1.12227	5.09098
26	597	246.534	2.11E+08	1.21801	5.15096
27	582	246.46	2.54E+08	1.01181	5.01221
28	567	245.557	2.42E+08	1.06198	4.97008
29	555	244.308	1.59E+08	1.61635	5.1793
30	537	243.857	1.72E+08	1.49419	4.94521
31	522	244.706	1.65E+08	1.55758	4.84717
32	507	244.651	1.44E+08	1.78472	5.03375
33	491	243.878	1.81E+08	1.41989	4.83407
34	477	243.831	2.17E+08	1.18433	4.84126
35	462	244.005	2.37E+08	1.08439	4.80653
36	446	243.231	1.97E+08	1.30457	4.83468
37	431	242.834	2.16E+08	1.18981	4.80571
38	416	243.379	1.96E+08	1.31122	4.71658
39	401	243.613	2.12E+08	1.21226	4.8281
40	386	243.695	1.89E+08	1.35979	4.76534
41	371	243.042	2.07E+08	1.24155	4.71486
42	355	244.749	1.89E+08	1.35979	4.73046
43	341	243.208	1.84E+08	1.39674	4.56551
45	309	242.948	1.35E+08	1.9037	4.50669
46	294	243.107	1.43E+08	1.7972	4.65229
47	279	241.918	1.09E+08	2.3578	4.64513
48	265	242.428	9.02E+07	2.84922	4.58494
50	233	243.587	4.76E+07	5.39916	4.74328
51	218	244.476	1.07E+08	2.40187	4.54278
52	203	242.794	1.17E+08	2.19658	4.62682
53	187	243.771	7.86E+07	3.26972	4.59914
54	173	244.792	1.40E+08	1.83571	4.63171
