CH	Y	X			
1	970	260.418	3.41E+07	2.38416	4.95267
2	955	259.555	2.37E+07	3.43038	4.92635
3	940	259.487	3.63E+07	2.23967	5.27961
4	925	259.507	4.31E+07	1.88631	4.74817
6	895	258.238	4.64E+07	1.75216	4.69283
7	880	257.83	5.71E+07	1.42382	4.64892
8	865	257.255	5.45E+07	1.49174	4.80858
9	850	256.987	6.04E+07	1.34603	4.70683
10	834	256.466	5.91E+07	1.37563	4.64438
11	820	255.813	5.34E+07	1.52247	4.50444
12	804	255.501	5.03E+07	1.6163	4.71655
13	789	254.437	5.02E+07	1.61952	4.58816
14	775	254.079	6.05E+07	1.3438	4.35605
15	759	254.134	5.94E+07	1.36869	4.26544
16	744	253.567	4.75E+07	1.71158	4.35566
17	729	252.618	4.44E+07	1.83108	4.27095
18	713	253.065	4.89E+07	1.66258	4.13601
19	699	253.01	5.13E+07	1.5848	4.15873
20	683	252.685	4.09E+07	1.98778	4.40279
21	668	252.385	5.32E+07	1.5282	3.97987
22	653	251.75	6.02E+07	1.3505	4.00449
23	638	251.825	6.29E+07	1.29253	3.87819
24	624	251.826	6.63E+07	1.22624	3.81133
25	608	251.956	5.93E+07	1.37099	3.76363
26	593	251.359	5.80E+07	1.40172	3.82012
27	578	251.599	6.84E+07	1.1886	3.80556
28	563	251.193	6.55E+07	1.24122	3.67659
29	550	251.123	4.83E+07	1.68323	3.77421
30	532	250.746	4.47E+07	1.81879	3.57822
31	518	250.869	4.57E+07	1.77899	3.58573
32	503	250.651	4.02E+07	2.02239	3.52366
33	487	250.184	2.57E+07	3.16342	3.38579
34	472	250.218	4.36E+07	1.86468	3.47851
35	457	249.848	4.49E+07	1.81069	3.40654
36	442	249.915	3.68E+07	2.20924	3.43295
38	412	249.102	3.83E+07	2.12272	3.32516
39	397	249.231	4.56E+07	1.78289	3.53458
40	382	248.981	4.49E+07	1.81069	3.51015
41	367	248.808	3.98E+07	2.04271	3.31552
42	351	248.611	4.65E+07	1.74839	3.48855
43	336	248.438	4.63E+07	1.75594	3.37753
45	305	248.329	4.21E+07	1.93112	3.33537
46	290	248.217	4.19E+07	1.94033	3.45165
47	276	248.109	3.65E+07	2.2274	3.39081
48	261	247.916	3.21E+07	2.53271	3.37252
50	229	248.76	2.53E+07	3.21344	3.37778
