CH	y	x	sensitivity	instrument
1	193.217	369.06	4.34744	4.87745
2	211.291	368.82	2.46798	4.64719
3	228.092	368.92	2.12326	4.52685
4	246.246	368.836	2.32179	4.44395
5	264.113	368.559	1.8098	4.40214
6	282.373	368.854	1.90997	4.32602
7	300.815	368.786	1.58248	4.32288
8	318.596	368.446	1.6726	4.33163
9	337.161	368.745	1.40651	4.34041
10	354.791	368.915	1.47636	4.38614
11	372.671	368.859	1.56763	4.33467
12	390.849	369.488	1.40059	4.38798
13	408.768	369.834	1.27415	4.35388
14	426.129	370.007	1.54629	4.43214
15	444.599	370.301	1.43234	4.36245
16	462.152	370.568	1.87366	4.38483
17	480.754	370.878	1.22805	4.32984
18	499.05	371.008	1.44045	4.33741
19	516.503	371.119	1.04327	4.3018
20	534.062	371.334	1.19261	4.26715
21	552.072	371.577	1.31956	4.25613
22	569.768	371.621	1.38108	4.1832
23	587.848	371.724	1.3324	4.1399
24	605.892	372.16	1.35992	4.09071
25	623.748	372.182	1.05507	4.07604
26	641.987	372.494	1.19629	4.0286
27	660.029	372.552	1.39178	4.05254
28	677.867	373.015	1.36798	4.05134
29	695.962	373.349	1.82331	4.13004
30	714.192	373.445	1.67	4.2034
31	731.91	373.614	2.00423	4.3256
32	749.912	373.623	3.32669	4.49074
33	771.114	538.935	1.83021	4.561
34	753.381	537.891	1.63909	4.38978
35	735.624	537.352	1.33823	4.22409
36	717.947	537.267	1.33327	4.10204
37	699.123	536.401	1.1471	4.04145
38	681.289	535.898	1.08195	4.01212
39	663.184	535.414	1	4.00271
40	645.283	535.15	1.06862	4.00314
41	627.209	534.838	1.07255	4.04008
42	609.386	534.478	1.31402	4.10015
43	591.056	534.581	1.04684	4.05964
44	573.386	534.272	1.1397	4.13152
45	555.349	534.172	1.03743	4.19526
46	537.445	534.032	1.08051	4.21739
47	519.831	534.136	1.05481	4.22461
48	501.95	534.053	1.12516	4.23169
49	483.341	533.865	1.48852	4.28259
50	465.336	533.872	1.4692	4.26635
51	447.512	533.833	1.44892	4.28226
52	429.866	533.923	1.2553	4.26584
53	412.117	533.978	1.17327	4.26293
54	393.764	534.238	1.24071	4.2257
55	376.208	534.503	1.11179	4.20934
56	358.038	534.811	1.32102	4.22139
57	339.813	535.125	1.37926	4.2079
58	321.348	535.588	1.25694	4.18989
59	302.803	536.028	1.20272	4.155
60	285.339	536.613	1.15408	4.14136
61	267.39	537.097	1.1152	4.17417
62	249.076	537.468	1.32904	4.19248
63	231.303	538.153	1.4245	4.24973
64	213.414	538.877	2.17227	4.37593
65	194.589	702.603	1.89922	4.98825
66	212.103	701.61	1.53157	4.66173
67	230.068	700.538	1.36043	4.45463
68	247.833	699.512	1.40032	4.33178
69	266.323	698.535	1.14883	4.17843
70	284.551	697.355	1.17016	4.12117
71	301.766	696.496	1.29073	4.03595
72	320.83	696.057	1.31603	4.04419
73	338.8	695.528	1.42107	4.03309
74	356.894	695.043	1.33271	4.05884
75	375.146	694.564	1.27483	4.06876
76	392.909	694.284	1.38953	4.09964
77	411.265	693.997	1.18701	4.09265
78	429.268	693.957	1.21608	4.1098
79	446.699	694.192	1.24409	4.09144
80	464.518	694.424	1.55372	4.08247
81	482.959	694.397	1.57583	4.0741
82	501.265	694.555	1.56991	4.08962
83	518.781	694.852	1.65099	4.11115
84	536.984	695.205	1.52657	4.0833
85	555.167	695.582	1.48969	4.07032
86	573.061	696.034	1.05903	4.02517
87	590.832	696.569	1.37596	4.0313
88	608.734	697.412	1.4816	4.02913
89	626.803	698.012	1.19435	4.06479
90	645.06	698.828	1.1478	4.05876
91	663.07	699.843	1.47865	4.1302
92	681.457	701.182	1.4821	4.21213
93	699.583	702.609	1.27119	4.24549
94	716.989	703.641	1.58131	4.42693
95	735.333	705.176	1.51953	4.57747
96	752.996	706.153	2.27561	4.84272
