CH,y,x,relative,sensitivity,instrument
1,981.000,317.337,2.93448e+07,2.69594,4.95000
2,965.000,316.368,2.01150e+07,3.93298,4.93000
3,951.000,316.213,3.01877e+07,2.62066,5.28000
4,936.000,316.278,3.59307e+07,2.20178,4.75000
6,905.000,314.690,3.87198e+07,2.04319,4.69000
7,890.000,314.102,4.80413e+07,1.64674,4.65000
8,875.000,313.704,4.40029e+07,1.79788,4.81000
9,860.000,313.610,4.99697e+07,1.58319,4.71000
10,844.000,313.405,4.73240e+07,1.67171,4.64000
11,830.000,312.278,4.39868e+07,1.79853,4.50000
12,814.000,312.145,4.09453e+07,1.93213,4.72000
13,799.000,311.801,3.92323e+07,2.01650,4.59000
14,787.000,312.268,4.78423e+07,1.65359,4.36000
15,769.000,310.886,4.58945e+07,1.72378,4.27000
16,754.000,311.414,3.47367e+07,2.27747,4.36000
17,754.000,311.414,3.93225e+07,2.01187,4.27000
18,725.000,308.060,4.33990e+07,1.82290,4.14000
19,708.000,310.072,4.43386e+07,1.78426,4.16000
20,708.000,310.072,3.49967e+07,2.26055,4.40000
21,677.000,309.330,4.70279e+07,1.68223,3.98000
22,664.000,307.380,5.32438e+07,1.48584,4.00000
23,646.000,308.404,5.54788e+07,1.42598,3.88000
24,632.000,308.260,5.89128e+07,1.34286,3.81000
25,616.000,308.195,5.68602e+07,1.39134,3.76000
26,601.000,307.761,4.99085e+07,1.58514,3.82000
27,586.000,307.965,6.02826e+07,1.31235,3.81000
28,571.000,307.435,5.67306e+07,1.39452,3.68000
29,558.000,307.600,3.86977e+07,2.04435,3.77000
30,540.000,307.510,3.92192e+07,2.01717,3.58000
31,526.000,307.269,3.92536e+07,2.01540,3.59000
32,511.000,307.043,3.11178e+07,2.54233,3.52000
33,495.000,306.920,1.72707e+07,4.58070,3.39000
34,481.000,306.771,2.69631e+07,2.93407,3.48000
35,465.000,306.514,4.47848e+07,1.76649,3.41000
36,450.000,306.455,4.37442e+07,1.80851,3.43000
38,419.000,305.884,3.59078e+07,2.20319,3.33000
39,404.000,305.689,3.67667e+07,2.15172,3.53000
40,390.000,305.591,4.36199e+07,1.81366,3.51000
41,375.000,305.914,4.22653e+07,1.87179,3.32000
42,358.000,305.912,3.79696e+07,2.08355,3.49000
43,344.000,305.476,4.39465e+07,1.80018,3.38000
45,313.000,303.780,4.34080e+07,1.82252,3.34000
46,297.000,304.926,3.85177e+07,2.05390,3.45000
47,283.000,303.540,3.82993e+07,2.06562,3.39000
48,268.000,303.190,3.30070e+07,2.39682,3.37000
