CH	y	x	relative	sensitivity	instrument
1	983.000	228.654	2.93448e+07	2.69594	4.95000
2	968.000	227.945	2.01150e+07	3.93298	4.93000
3	952.000	227.663	3.01877e+07	2.62066	5.28000
4	938.000	227.596	3.59307e+07	2.20178	4.75000
6	907.000	225.573	3.87198e+07	2.04319	4.69000
7	891.000	225.770	4.80413e+07	1.64674	4.65000
8	876.000	225.203	4.40029e+07	1.79788	4.81000
9	862.000	224.954	4.99697e+07	1.58319	4.71000
10	846.000	224.619	4.73240e+07	1.67171	4.64000
11	832.000	224.485	4.39868e+07	1.79853	4.50000
12	816.000	224.284	4.09453e+07	1.93213	4.72000
13	800.000	224.069	3.92323e+07	2.01650	4.59000
14	787.000	223.696	4.78423e+07	1.65359	4.36000
15	772.000	223.215	4.58945e+07	1.72378	4.27000
16	755.000	223.082	3.47367e+07	2.27747	4.36000
17	741.000	222.018	3.93225e+07	2.01187	4.27000
18	725.000	221.394	4.33990e+07	1.82290	4.14000
19	710.000	222.129	4.43386e+07	1.78426	4.16000
20	694.000	221.539	3.49967e+07	2.26055	4.40000
21	680.000	220.919	4.70279e+07	1.68223	3.98000
22	664.000	220.608	5.32438e+07	1.48584	4.00000
23	648.000	220.100	5.54788e+07	1.42598	3.88000
24	633.000	220.060	5.89128e+07	1.34286	3.81000
25	618.000	219.622	5.68602e+07	1.39134	3.76000
26	602.000	219.036	4.99085e+07	1.58514	3.82000
27	588.000	219.065	6.02826e+07	1.31235	3.81000
28	573.000	218.254	5.67306e+07	1.39452	3.68000
29	561.000	218.219	3.86977e+07	2.04435	3.77000
30	542.000	218.344	3.92192e+07	2.01717	3.58000
31	528.000	218.778	3.92536e+07	2.01540	3.59000
32	513.000	218.925	3.11178e+07	2.54233	3.52000
33	498.000	218.415	1.72707e+07	4.58070	3.39000
34	483.000	217.906	2.69631e+07	2.93407	3.48000
35	468.000	217.505	4.47848e+07	1.76649	3.41000
36	453.000	217.392	4.37442e+07	1.80851	3.43000
38	421.000	216.727	3.59078e+07	2.20319	3.33000
39	406.000	216.774	3.67667e+07	2.15172	3.53000
40	391.000	216.926	4.36199e+07	1.81366	3.51000
41	376.000	216.778	4.22653e+07	1.87179	3.32000
42	360.000	216.665	3.79696e+07	2.08355	3.49000
43	346.000	216.628	4.39465e+07	1.80018	3.38000
45	315.000	216.977	4.34080e+07	1.82252	3.34000
46	299.000	216.538	3.85177e+07	2.05390	3.45000
47	285.000	216.907	3.82993e+07	2.06562	3.39000
48	270.000	216.638	3.30070e+07	2.39682	3.37000
50	238.000	217.302	2.91580e+07	2.71321	3.38000
51	223.000	217.113	2.42044e+07	3.26848	3.44000
52	208.000	216.450	4.20659e+07	1.88066	3.55000
53	192.000	217.014	4.04806e+07	1.95431	3.49000
54	178.000	216.692	3.37628e+07	2.34316	3.49000
55	163.000	216.853	4.53887e+07	1.74298	3.46000
