CH,y,x,relative,sensitivity,instrument
1,988.000,303.513,2.93448e+07,2.69594,6.20748
2,972.000,302.643,2.01150e+07,3.93298,6.04028
3,957.000,301.948,3.01877e+07,2.62066,6.14879
4,942.000,301.791,3.59307e+07,2.20178,5.85632
6,911.000,298.861,3.87198e+07,2.04319,5.94692
7,896.000,299.375,4.80413e+07,1.64674,5.93132
8,881.000,298.594,4.40029e+07,1.79788,5.91596
9,866.000,298.950,4.99697e+07,1.58319,5.88023
10,850.000,298.737,4.73240e+07,1.67171,5.80617
11,836.000,298.319,4.39868e+07,1.79853,5.73583
12,821.000,297.883,4.09453e+07,1.93213,5.75158
13,805.000,296.992,3.92323e+07,2.01650,5.65107
14,791.000,296.128,4.78423e+07,1.65359,5.63846
15,775.000,295.679,4.58945e+07,1.72378,5.58240
16,760.000,295.341,3.47367e+07,2.27747,5.64839
17,745.000,295.348,3.93225e+07,2.01187,5.53439
18,729.000,294.341,4.33990e+07,1.82290,5.54438
19,714.000,295.434,4.43386e+07,1.78426,5.30959
20,699.000,295.215,3.49967e+07,2.26055,5.63679
21,683.000,293.653,4.70279e+07,1.68223,5.30922
22,668.000,293.878,5.32438e+07,1.48584,5.37509
23,654.000,293.145,5.54788e+07,1.42598,5.22115
24,639.000,292.474,5.89128e+07,1.34286,5.19126
25,623.000,292.417,5.68602e+07,1.39134,5.09098
26,608.000,291.708,4.99085e+07,1.58514,5.15096
27,593.000,292.258,6.02826e+07,1.31235,5.01221
28,578.000,292.521,5.67306e+07,1.39452,4.97008
29,565.000,291.812,3.86977e+07,2.04435,5.17930
30,547.000,291.913,3.92192e+07,2.01717,4.94521
31,532.000,291.755,3.92536e+07,2.01540,4.84717
32,517.000,291.322,3.11178e+07,2.54233,5.03375
33,502.000,290.527,2.69631e+07,2.93407,4.83407
34,487.000,291.608,4.47848e+07,1.76649,4.84126
35,471.000,290.661,4.37442e+07,1.80851,4.80653
36,456.000,289.861,3.59078e+07,2.20319,4.83468
38,426.000,290.190,3.67667e+07,2.15172,4.71658
39,411.000,290.369,4.36199e+07,1.81366,4.82810
40,396.000,290.508,4.22653e+07,1.87179,4.76534
41,381.000,290.511,3.79696e+07,2.08355,4.71486
42,365.000,290.907,4.39465e+07,1.80018,4.73046
43,350.000,291.116,4.34080e+07,1.82252,4.56551
45,319.000,291.926,3.85177e+07,2.05390,4.50669
46,304.000,291.078,3.82993e+07,2.06562,4.65229
47,289.000,291.385,3.30070e+07,2.39682,4.64513
48,274.000,291.052,2.91580e+07,2.71321,4.58494
